Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
31941771,11/9/15 12:38,11/9/15 14:21,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,10027,,,,,TIEMANN PLACE,RIVERSIDE DRIVE,INTERSECTION,NEW YORK,,Precinct,Closed,11/9/15 20:38,The Police Department responded to the complaint and took action to fix the condition.,11/9/15 14:21,09 MANHATTAN,MANHATTAN,995167,236527,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81588095,-73.96055981,"(40.8158809472464, -73.96055980708263)"
31950923,11/10/15 12:19,11/10/15 12:32,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10075,2 AVENUE,2 AVENUE,EAST 78 STREET,EAST 79 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/10/15 20:19,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,11/10/15 12:32,08 MANHATTAN,MANHATTAN,996629,220903,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77299537,-73.95530679,"(40.77299537466459, -73.95530679318253)"
31951868,11/10/15 16:31,11/10/15 17:31,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10021,YORK AVENUE,YORK AVENUE,EAST 70 STREET,EAST 71 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/11/15 0:31,The Police Department responded to the complaint and determined that police action was not necessary.,11/10/15 17:31,08 MANHATTAN,MANHATTAN,996860,218301,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76585324,-73.95447767,"(40.76585323597401, -73.954477671709)"
31951869,11/10/15 16:58,11/10/15 19:29,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10019,322 WEST 57 STREET,WEST 57 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,11/11/15 0:58,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/10/15 19:29,04 MANHATTAN,MANHATTAN,988750,218744,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.767077,-73.98375462,"(40.76707700429356, -73.98375462066865)"
31953786,11/10/15 16:27,11/10/15 17:31,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10021,,,,,EAST   72 STREET,YORK AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/15 0:27,The Police Department responded to the complaint and determined that police action was not necessary.,11/10/15 17:31,08 MANHATTAN,MANHATTAN,997062,218665,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76685203,-73.95374775,"(40.766852031168725, -73.9537477543563)"
31955544,11/10/15 15:47,11/10/15 16:00,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10011,,,,,WEST   23 STREET,10 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/10/15 23:47,The Police Department responded to the complaint and determined that police action was not necessary.,11/10/15 16:00,04 MANHATTAN,MANHATTAN,983095,211680,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7476892,-74.00416843,"(40.74768919735952, -74.0041684338762)"
31955646,11/10/15 13:38,11/10/15 13:55,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10065,,,,,EAST   63 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/10/15 21:38,The Police Department responded to the complaint and took action to fix the condition.,11/10/15 13:55,08 MANHATTAN,MANHATTAN,994634,217302,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76311413,-73.96251511,"(40.763114133956435, -73.96251511418777)"
31956484,11/10/15 12:56,11/10/15 13:07,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,10019,,,,,WEST   57 STREET,7 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/10/15 20:56,The Police Department responded to the complaint and took action to fix the condition.,11/10/15 13:07,05 MANHATTAN,MANHATTAN,989780,218177,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76552015,-73.9800367,"(40.76552015180097, -73.98003670045067)"
31956507,11/10/15 15:00,11/10/15 17:32,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10021,,,,,EAST   72 STREET,YORK AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/10/15 23:00,The Police Department responded to the complaint and determined that police action was not necessary.,11/10/15 17:32,08 MANHATTAN,MANHATTAN,997062,218665,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76685203,-73.95374775,"(40.766852031168725, -73.9537477543563)"
31957389,11/10/15 14:09,11/10/15 15:02,NYPD,New York City Police Department,Traffic,Truck Route Violation,Street/Sidewalk,10016,PARK AVENUE,PARK AVENUE,EAST 32 STREET,EAST 33 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/10/15 22:09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/10/15 15:02,05 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
