DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/16,9:10,MANHATTAN,10128,40.7822139,-73.9599226,"(40.7822139, -73.9599226)",EAST 87 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3550867,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,9:10,MANHATTAN,10037,40.8109414,-73.9431723,"(40.8109414, -73.9431723)",WEST 130 STREET,LENOX AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3551490,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,8:10,,,,,,CORNELL PLACE,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3551307,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/16,8:10,,,,,,BEACH 27 STREET,,,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3551343,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,8:10,,,,,,29 STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3549973,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,8:10,STATEN ISLAND,10312,40.561064,-74.1771729,"(40.561064, -74.1771729)",ANNADALE ROAD,LADD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3551275,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/31/16,8:10,QUEENS,11432,40.7192875,-73.8026482,"(40.7192875, -73.8026482)",,,82-000    164 PLACE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3550990,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,8:10,QUEENS,11432,40.7123891,-73.8086312,"(40.7123891, -73.8086312)",84 DRIVE,151 STREET,,0,0,0,0,0,0,0,0,Pavement Slippery,Driver Inattention/Distraction,,,,3550824,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/16,8:10,QUEENS,11426,40.7463792,-73.7276745,"(40.7463792, -73.7276745)",,,74-01     COMMONWEALTH BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3549991,SPORT UTILITY / STATION WAGON,,,,
10/31/16,8:10,QUEENS,11373,40.7467891,-73.8719207,"(40.7467891, -73.8719207)",41 AVENUE,94 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3550859,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/16,8:10,QUEENS,11372,40.7565702,-73.8758363,"(40.7565702, -73.8758363)",,,92-15     NORTHERN BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3549962,PICK-UP TRUCK,,,,
10/31/16,8:10,QUEENS,11367,40.7431133,-73.8347825,"(40.7431133, -73.8347825)",,,130-38    HORACE HARDING EXPRESSWAY,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3551300,,,,,
10/31/16,8:10,QUEENS,11358,40.7649171,-73.7967587,"(40.7649171, -73.7967587)",35 AVENUE,169 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3551297,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,8:10,MANHATTAN,10035,40.8015353,-73.9330813,"(40.8015353, -73.9330813)",,,350       EAST 124 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3552734,PASSENGER VEHICLE,,,,
10/31/16,8:10,MANHATTAN,10029,40.7972603,-73.9405186,"(40.7972603, -73.9405186)",3 AVENUE,EAST 115 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3552720,PASSENGER VEHICLE,,,,
10/31/16,8:10,MANHATTAN,10026,40.800664,-73.9464607,"(40.800664, -73.9464607)",5 AVENUE,EAST 116 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3552721,PASSENGER VEHICLE,,,,
10/31/16,8:10,MANHATTAN,10025,40.8011722,-73.9614571,"(40.8011722, -73.9614571)",COLUMBUS AVENUE,WEST 109 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3551338,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,8:10,MANHATTAN,10018,40.7583771,-73.9943762,"(40.7583771, -73.9943762)",WEST 41 STREET,DYER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3552413,PASSENGER VEHICLE,,,,
10/31/16,8:10,MANHATTAN,10013,40.7214219,-73.9990332,"(40.7214219, -73.9990332)",BROOME STREET,CROSBY STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3551633,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
10/31/16,8:10,MANHATTAN,10001,40.7460038,-73.9942618,"(40.7460038, -73.9942618)",7 AVENUE,WEST 26 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3551699,TAXI,PASSENGER VEHICLE,,,
10/31/16,8:10,BROOKLYN,11234,40.6320672,-73.9186024,"(40.6320672, -73.9186024)",RALPH AVENUE,FLATLANDS AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3551523,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/16,8:10,BROOKLYN,11232,40.6566425,-74.005262,"(40.6566425, -74.005262)",34 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3550823,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,8:10,BROOKLYN,11219,40.6271444,-74.0003134,"(40.6271444, -74.0003134)",13 AVENUE,63 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3551159,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,8:10,BROOKLYN,11218,40.6463789,-73.97084,"(40.6463789, -73.97084)",CHURCH AVENUE,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3552325,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,8:10,BROOKLYN,11216,40.6775017,-73.9469994,"(40.6775017, -73.9469994)",NEW YORK AVENUE,PACIFIC STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3552667,PASSENGER VEHICLE,,,,
10/31/16,8:10,BROOKLYN,11215,40.6648263,-73.9833181,"(40.6648263, -73.9833181)",,,398       7 AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3550002,PASSENGER VEHICLE,,,,
10/31/16,8:10,BROOKLYN,11207,40.6757902,-73.9026791,"(40.6757902, -73.9026791)",WILLIAMS PLACE,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3552432,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,8:10,BROOKLYN,11203,40.6519384,-73.9293933,"(40.6519384, -73.9293933)",EAST 51 STREET,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3550834,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,8:10,BRONX,10474,40.8171184,-73.8830681,"(40.8171184, -73.8830681)",,,772       EDGEWATER ROAD,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3552591,,,,,
10/31/16,8:10,BRONX,10462,40.8454166,-73.8679647,"(40.8454166, -73.8679647)",,,1814      AMETHYST STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3551550,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,8:10,BRONX,10451,40.8255779,-73.9184596,"(40.8255779, -73.9184596)",MORRIS AVENUE,EAST 161 STREET,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3551860,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/16,7:10,QUEENS,11433,40.6975638,-73.7790802,"(40.6975638, -73.7790802)",110 AVENUE,175 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3550001,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/31/16,7:10,MANHATTAN,10022,40.7584871,-73.9751333,"(40.7584871, -73.9751333)",MADISON AVENUE,EAST 51 STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3552544,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
