LATITUDE,LONGITUDE,,,,,
40.701587,-73.7543908,,"[40.701587,-73.7543908],",,,
40.7128488,-73.8782046,,"[40.7128488,-73.8782046],",,,
40.7128324,-73.8782912,,"[40.7128324,-73.8782912],",,,
40.7443215,-73.8623475,,"[40.7443215,-73.8623475],",,,
40.7847015,-73.8385323,,"[40.7847015,-73.8385323],",,,
40.8239805,-73.9467129,,"[40.8239805,-73.9467129],",,,
40.7952524,-73.9732091,,"[40.7952524,-73.9732091],",,,
40.7475353,-74.007828,,"[40.7475353,-74.007828],",,,
40.7379185,-73.9777969,,"[40.7379185,-73.9777969],",,,
40.6489098,-73.8925523,,"[40.6489098,-73.8925523],",,,
40.6442955,-73.901381,,"[40.6442955,-73.901381],",,,
40.5837275,-73.8937121,,"[40.5837275,-73.8937121],",,,
40.6297594,-73.9715138,,"[40.6297594,-73.9715138],",,,
40.6922757,-73.9134588,,"[40.6922757,-73.9134588],",,,
40.6357409,-74.0260387,,"[40.6357409,-74.0260387],",,,
40.6980669,-73.9568501,,"[40.6980669,-73.9568501],",,,
40.6921238,-73.9890305,,"[40.6921238,-73.9890305],",,,
40.8195989,-73.8625387,,"[40.8195989,-73.8625387],",,,
40.8355193,-73.8611145,,"[40.8355193,-73.8611145],",,,
40.8663825,-73.8851399,,"[40.8663825,-73.8851399],",,,
40.6575333,-73.8979663,,"[40.6575333,-73.8979663],",,,
40.8404641,-73.8859511,,"[40.8404641,-73.8859511],",,,
40.7399097,-73.9426547,,"[40.7399097,-73.9426547],",,,
40.6864528,-73.7611749,,"[40.6864528,-73.7611749],",,,
40.6983571,-73.731358,,"[40.6983571,-73.731358],",,,
40.6174436,-74.0283981,,"[40.6174436,-74.0283981],",,,
40.6854487,-73.991332,,"[40.6854487,-73.991332],",,,
40.8253078,-73.8906632,,"[40.8253078,-73.8906632],",,,
40.8650713,-73.8718381,,"[40.8650713,-73.8718381],",,,
40.8474611,-73.944234,,"[40.8474611,-73.944234],",,,
40.6841669,-73.7925735,,"[40.6841669,-73.7925735],",,,
40.7243014,-73.8451618,,"[40.7243014,-73.8451618],",,,
40.756946,-73.8440427,,"[40.756946,-73.8440427],",,,
40.753571,-73.855384,,"[40.753571,-73.855384],",,,
40.7085282,-73.9684503,,"[40.7085282,-73.9684503],",,,
40.8053439,-73.9209421,,"[40.8053439,-73.9209421],",,,
40.7263574,-73.7638669,,"[40.7263574,-73.7638669],",,,
40.6995795,-73.868634,,"[40.6995795,-73.868634],",,,
40.688364,-73.776619,,"[40.688364,-73.776619],",,,
40.6887807,-73.78644,,"[40.6887807,-73.78644],",,,
40.7022922,-73.9009057,,"[40.7022922,-73.9009057],",,,
40.75178,-73.8107991,,"[40.75178,-73.8107991],",,,
40.8411522,-73.9426911,,"[40.8411522,-73.9426911],",,,
40.7766338,-73.9597707,,"[40.7766338,-73.9597707],",,,
40.7583292,-73.9689357,,"[40.7583292,-73.9689357],",,,
40.725245,-73.9910743,,"[40.725245,-73.9910743],",,,
40.7156221,-73.9942752,,"[40.7156221,-73.9942752],",,,
40.6490618,-73.9132518,,"[40.6490618,-73.9132518],",,,
40.6374693,-73.9191723,,"[40.6374693,-73.9191723],",,,
40.7755322,-73.9764593,,"[40.7755322,-73.9764593],",,,
40.7482467,-73.9762885,,"[40.7482467,-73.9762885],",,,
40.6754472,-73.9095042,,"[40.6754472,-73.9095042],",,,
40.6632629,-73.9951087,,"[40.6632629,-73.9951087],",,,
40.6133269,-73.9738439,,"[40.6133269,-73.9738439],",,,
40.6236905,-74.0146615,,"[40.6236905,-74.0146615],",,,
40.6561385,-73.9520045,,"[40.6561385,-73.9520045],",,,
40.6556338,-73.9598617,,"[40.6556338,-73.9598617],",,,
40.6091511,-73.9699667,,"[40.6091511,-73.9699667],",,,
40.6750759,-73.9880022,,"[40.6750759,-73.9880022],",,,
40.627338,-73.9412572,,"[40.627338,-73.9412572],",,,
40.6772556,-73.8872611,,"[40.6772556,-73.8872611],",,,
40.6594524,-73.8984572,,"[40.6594524,-73.8984572],",,,
40.6581599,-73.8957199,,"[40.6581599,-73.8957199],",,,
40.6982463,-73.9805437,,"[40.6982463,-73.9805437],",,,
40.8229893,-73.8678032,,"[40.8229893,-73.8678032],",,,
40.8960825,-73.8669163,,"[40.8960825,-73.8669163],",,,
40.8840165,-73.8790881,,"[40.8840165,-73.8790881],",,,
40.8302663,-73.8982615,,"[40.8302663,-73.8982615],",,,
40.8603808,-73.8888848,,"[40.8603808,-73.8888848],",,,
40.8137314,-73.9220867,,"[40.8137314,-73.9220867],",,,
40.6465177,-73.958105,,"[40.6465177,-73.958105],",,,
40.8360929,-73.8703818,,"[40.8360929,-73.8703818],",,,
40.5116606,-74.2402506,,"[40.5116606,-74.2402506],",,,
40.568779,-74.1066061,,"[40.568779,-74.1066061],",,,
40.6930057,-73.789845,,"[40.6930057,-73.789845],",,,
40.6824147,-73.8361587,,"[40.6824147,-73.8361587],",,,
40.7543077,-73.8973416,,"[40.7543077,-73.8973416],",,,
40.7558025,-73.8873158,,"[40.7558025,-73.8873158],",,,
40.7366243,-73.8364199,,"[40.7366243,-73.8364199],",,,
40.7349824,-73.861387,,"[40.7349824,-73.861387],",,,
40.6965654,-73.7912475,,"[40.6965654,-73.7912475],",,,
40.6661202,-73.8222416,,"[40.6661202,-73.8222416],",,,
40.7211721,-73.9965764,,"[40.7211721,-73.9965764],",,,
40.6662595,-73.8840175,,"[40.6662595,-73.8840175],",,,
40.7406926,-73.8441704,,"[40.7406926,-73.8441704],",,,
40.7561235,-73.9911567,,"[40.7561235,-73.9911567],",,,
40.7367906,-73.9784973,,"[40.7367906,-73.9784973],",,,
40.7688806,-73.9085154,,"[40.7688806,-73.9085154],",,,
40.6860413,-73.7777266,,"[40.6860413,-73.7777266],",,,
40.7014232,-73.9430637,,"[40.7014232,-73.9430637],",,,
40.6776913,-73.8288373,,"[40.6776913,-73.8288373],",,,
40.7569869,-73.9073648,,"[40.7569869,-73.9073648],",,,
40.7578281,-73.9930696,,"[40.7578281,-73.9930696],",,,
40.8176642,-73.9307538,,"[40.8176642,-73.9307538],",,,
40.722499,-73.940404,,"[40.722499,-73.940404],",,,
40.752541,-73.8526035,,"[40.752541,-73.8526035],",,,
40.7571447,-73.9935606,,"[40.7571447,-73.9935606],",,,
40.6098096,-73.9224976,,"[40.6098096,-73.9224976],",,,
40.6672874,-73.8699177,,"[40.6672874,-73.8699177],",,,
40.8027515,-73.933575,,"[40.8027515,-73.933575],",,,
40.7487997,-73.969846,,"[40.7487997,-73.969846],",,,
40.8392713,-73.9225592,,"[40.8392713,-73.9225592],",,,
40.8453518,-73.9281973,,"[40.8453518,-73.9281973],",,,
40.8546114,-73.8918007,,"[40.8546114,-73.8918007],",,,
40.7692957,-73.9949385,,"[40.7692957,-73.9949385],",,,
40.560249,-74.1641139,,"[40.560249,-74.1641139],",,,
40.7306046,-73.7345583,,"[40.7306046,-73.7345583],",,,
40.7629663,-73.9739693,,"[40.7629663,-73.9739693],",,,
40.5664967,-74.1137614,,"[40.5664967,-74.1137614],",,,
