LATITUDE,LONGITUDE,,,,,
40.6296844,-74.1112247,,"[40.6296844,-74.1112247],",,,
40.7611734,-73.9869038,,"[40.7611734,-73.9869038],",,,
40.5965113,-73.9078755,,"[40.5965113,-73.9078755],",,,
40.6307566,-74.0001441,,"[40.6307566,-74.0001441],",,,
40.6340731,-73.9788366,,"[40.6340731,-73.9788366],",,,
40.6796126,-73.9845691,,"[40.6796126,-73.9845691],",,,
40.7180441,-73.9350879,,"[40.7180441,-73.9350879],",,,
40.7064997,-73.9591566,,"[40.7064997,-73.9591566],",,,
40.6781627,-73.8974769,,"[40.6781627,-73.8974769],",,,
40.6930489,-73.9907288,,"[40.6930489,-73.9907288],",,,
40.8135984,-73.8620886,,"[40.8135984,-73.8620886],",,,
40.8787451,-73.8725452,,"[40.8787451,-73.8725452],",,,
40.8470292,-73.8554628,,"[40.8470292,-73.8554628],",,,
40.8572609,-73.8841507,,"[40.8572609,-73.8841507],",,,
40.818874,-73.9059274,,"[40.818874,-73.9059274],",,,
40.835122,-73.8739019,,"[40.835122,-73.8739019],",,,
40.6960635,-73.7630734,,"[40.6960635,-73.7630734],",,,
40.7253519,-73.9485885,,"[40.7253519,-73.9485885],",,,
40.6178527,-73.9880665,,"[40.6178527,-73.9880665],",,,
40.623716,-73.9931304,,"[40.623716,-73.9931304],",,,
40.7646351,-73.8715976,,"[40.7646351,-73.8715976],",,,
40.7726551,-73.9555525,,"[40.7726551,-73.9555525],",,,
40.7701196,-73.9574027,,"[40.7701196,-73.9574027],",,,
40.6354759,-73.8915579,,"[40.6354759,-73.8915579],",,,
40.6317325,-73.9696864,,"[40.6317325,-73.9696864],",,,
40.6268511,-73.9764288,,"[40.6268511,-73.9764288],",,,
40.6525571,-73.9604221,,"[40.6525571,-73.9604221],",,,
40.6780571,-73.933043,,"[40.6780571,-73.933043],",,,
40.6715287,-73.8805981,,"[40.6715287,-73.8805981],",,,
40.9046015,-73.8529246,,"[40.9046015,-73.8529246],",,,
40.8817462,-73.857058,,"[40.8817462,-73.857058],",,,
40.8241884,-73.91384,,"[40.8241884,-73.91384],",,,
40.6501081,-73.9302061,,"[40.6501081,-73.9302061],",,,
40.6144783,-73.9264002,,"[40.6144783,-73.9264002],",,,
40.608702,-73.9740294,,"[40.608702,-73.9740294],",,,
40.8473669,-73.8995004,,"[40.8473669,-73.8995004],",,,
40.8350523,-73.9261381,,"[40.8350523,-73.9261381],",,,
40.7384163,-73.8489844,,"[40.7384163,-73.8489844],",,,
40.7763977,-73.8176434,,"[40.7763977,-73.8176434],",,,
40.7616086,-73.9256889,,"[40.7616086,-73.9256889],",,,
40.7628049,-73.9656703,,"[40.7628049,-73.9656703],",,,
40.8245097,-73.9518505,,"[40.8245097,-73.9518505],",,,
40.5958903,-74.0858762,,"[40.5958903,-74.0858762],",,,
40.7389002,-73.7337746,,"[40.7389002,-73.7337746],",,,
40.6787891,-73.8442543,,"[40.6787891,-73.8442543],",,,
